N,a [mm],d [mm],my_theta [deg],p [mm],Freq [MHz],L [uH],R [¦¸],Q
3,35,1.4,69.9,1.2,6.78,0.325781854,0.165102281,84.05883714
3,35,1.6,69.9,0.4,6.78,0.359929385,0.166911988,91.86272765
3,35,1.6,69.9,0.6,6.78,0.349288818,0.140999756,105.529987
3,35,1.6,69.9,0.8,6.78,0.331781951,0.14953075,94.52176153
3,35,1.6,69.9,1,6.78,0.318917449,0.137501447,98.805376
3,35,1.6,69.9,1.2,6.78,0.306995433,0.132506071,98.6973978
3,35,1.8,69.9,0.4,6.78,0.337095434,0.144638092,99.28411046
3,35,1.8,69.9,0.6,6.78,0.32073912,0.152473511,89.61219093
3,35,1.8,69.9,0.8,6.78,0.309589126,0.139666337,94.42859224
3,35,1.8,69.9,1,6.78,0.294521357,0.169139259,74.17916349
3,35,1.8,69.9,1.2,6.78,0.287589184,0.120492038,101.6772429
3,35,0.8,89.9,0.4,6.78,0.45895405,0.240584885,81.26628927
3,35,0.8,89.9,0.6,6.78,0.438930718,0.2209963,84.60977407
3,35,0.8,89.9,1,6.78,0.398000653,0.225779131,75.09474549
3,35,0.8,89.9,1.2,6.78,0.34363039,0.249547805,58.66071774
3,35,1,89.9,0.4,6.78,0.427391397,0.212714191,85.59312314
3,35,1,89.9,0.6,6.78,0.408820677,0.191152804,91.10909711
3,35,1,89.9,0.8,6.78,0.393789503,0.173875272,96.47968454
3,35,1,89.9,1,6.78,0.376038083,0.169342797,94.59641221
3,35,1,89.9,1.2,6.78,0.363797508,0.161598375,95.90302167
3,35,1.2,89.9,0.4,6.78,0.397155824,0.190228353,88.939616
3,35,1.2,89.9,0.6,6.78,0.380905494,0.169521569,95.71981182
3,35,1.2,89.9,0.8,6.78,0.360912712,0.16985215,90.51919695
3,35,1.2,89.9,1,6.78,0.352833679,0.162722567,92.37018418
3,35,1.2,89.9,1.2,6.78,0.335493202,0.156410429,91.37504009
3,35,1.4,89.9,0.4,6.78,0.371093974,0.164340836,96.19399734
3,35,1.4,89.9,0.6,6.78,0.356632224,0.144944284,104.8163543
3,35,1.4,89.9,0.8,6.78,0.344156209,0.139333802,105.2225163
3,35,1.4,89.9,1,6.78,0.323334979,0.150226667,91.68857459
3,35,1.4,89.9,1.2,6.78,0.313653775,0.137175434,97.40555792
3,35,1.6,89.9,0.4,6.78,0.339261125,0.182186617,79.32812498
3,35,1.6,89.9,0.6,6.78,0.332059454,0.142967997,98.9433425
3,35,1.6,89.9,0.8,6.78,0.31566981,0.139262586,96.56242294
3,35,1.6,89.9,1,6.78,0.302626144,0.146224625,88.16485383
3,35,1.6,89.9,1.2,6.78,0.293557482,0.123990629,100.8588136
3,35,1.8,89.9,0.4,6.78,0.322564209,0.139443403,98.54345082
3,35,1.8,89.9,0.6,6.78,0.304939056,0.158302813,82.06046648
3,35,1.8,89.9,0.8,6.78,0.293781489,0.141386494,88.51687308
3,35,1.8,89.9,1,6.78,0.28334566,0.127107781,94.96290447
3,35,1.8,89.9,1.2,6.78,0.271823683,0.122615913,94.43870419
3,40,0.8,9.9,0.4,6.78,0.671449107,0.344257985,83.08806407
3,40,0.8,9.9,0.6,6.78,0.651626006,0.289254127,95.96843375
3,40,0.8,9.9,0.8,6.78,0.620560824,0.277785559,95.16653401
3,40,0.8,9.9,1,6.78,0.59588132,0.261130765,97.21007816
3,40,0.8,9.9,1.2,6.78,0.565872734,0.265356732,90.8444125
3,40,1,9.9,0.4,6.78,0.6337211,0.271638542,99.38396943
3,40,1,9.9,0.6,6.78,0.604363595,0.252981461,101.7698565
3,40,1,9.9,0.8,6.78,0.578887471,0.256305894,96.21551732
3,40,1,9.9,1,6.78,0.550564298,0.245029108,95.71939154
3,40,1,9.9,1.2,6.78,0.529667492,0.239583186,94.17953589
3,40,1.2,9.9,0.4,6.78,0.583941606,0.261193155,95.23951827
3,40,1.2,9.9,0.6,6.78,0.562108831,0.239304033,100.0644823
3,40,1.2,9.9,0.8,6.78,0.542378342,0.220724888,104.6792484
3,40,1.2,9.9,1,6.78,0.522455136,0.20736678,107.3295678
3,40,1.2,9.9,1.2,6.78,0.498550307,0.208711948,101.7586268
3,40,1.4,9.9,0.4,6.78,0.548109553,0.239523768,97.4828727
3,40,1.4,9.9,0.6,6.78,0.525079693,0.221881955,100.8121324
3,40,1.4,9.9,0.8,6.78,0.504125027,0.207159458,103.6676026
3,40,1.4,9.9,1,6.78,0.488143265,0.193179145,107.6456848
3,40,1.4,9.9,1.2,6.78,0.475922442,0.179931381,112.6779231
3,40,1.6,9.9,0.4,6.78,0.514166591,0.212230512,103.2061543
3,40,1.6,9.9,0.6,6.78,0.491788387,0.211424352,99.09068314
3,40,1.6,9.9,0.8,6.78,0.477463575,0.181330366,112.1706586
3,40,1.6,9.9,1,6.78,0.463681249,0.167379155,118.0124226
3,40,1.6,9.9,1.2,6.78,0.445377737,0.166982943,113.6229222
3,40,1.8,9.9,0.4,6.78,0.476163488,0.216137007,93.85048459
3,40,1.8,9.9,0.6,6.78,0.460630804,0.193370449,101.4781249
3,40,1.8,9.9,0.8,6.78,0.450531394,0.1651102,116.2413698
3,40,1.8,9.9,1,6.78,0.430508236,0.160905934,113.9774578
3,40,1.8,9.9,1.2,6.78,0.41831027,0.155200408,114.8193888
3,40,0.8,29.9,0.4,6.78,0.64636709,0.309753283,88.89408823
3,40,0.8,29.9,0.6,6.78,0.625173379,0.268173474,99.3102832
3,40,0.8,29.9,0.8,6.78,0.596017506,0.281349133,90.24496839
3,40,0.8,29.9,1,6.78,0.569439732,0.242216197,100.1507364
3,40,0.8,29.9,1.2,6.78,0.548878106,0.233447481,100.1604524
3,40,1,29.9,0.4,6.78,0.608559962,0.252353056,102.731675
3,40,1,29.9,0.6,6.78,0.578925851,0.243578569,101.2496267
3,40,1,29.9,0.8,6.78,0.556322094,0.226832165,104.4795351
3,40,1,29.9,1,6.78,0.530954812,0.223304923,101.2905257
3,40,1,29.9,1.2,6.78,0.512140301,0.218546895,99.82834578
3,40,1.2,29.9,0.4,6.78,0.565157921,0.233384761,103.1589436
3,40,1.2,29.9,0.6,6.78,0.542616568,0.212180512,108.9424453
3,40,1.2,29.9,0.8,6.78,0.521797868,0.202753061,109.6337939
3,40,1.2,29.9,1,6.78,0.501244553,0.193702305,110.2362523
3,40,1.2,29.9,1.2,6.78,0.480459215,0.187524978,109.1457847
3,40,1.4,29.9,0.4,6.78,0.526932118,0.225652282,99.47741773
3,40,1.4,29.9,0.6,6.78,0.509106121,0.198942039,109.0162695
3,40,1.4,29.9,0.8,6.78,0.398311211,0.373150623,45.47240471
